352849,38476692,2018-02-15 00:00:00,02/15/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10455,367 EAST 151ST STREET,EAST 151ST STREET,,,,,LATLONG,BRONX,,,Closed,03/17/2018 05:15:19 PM,02/15/2018 05:18:45 PM,Unspecified BRONX,BRONX,1006882.0,237301.0,Unspecified,BRONX,,,,,,,,40.81798311403878,-73.9182340623112,"(40.81798311403878, -73.9182340623112)"
352850,38475723,2018-02-15 00:00:00,02/15/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11220,460 52 STREET,52 STREET,4 AVENUE,5 AVENUE,,,ADDRESS,BROOKLYN,,,Closed,03/17/2018 02:59:38 PM,02/15/2018 03:03:21 PM,07 BROOKLYN,BROOKLYN,980805.0,174099.0,Unspecified,BROOKLYN,,,,,,,,40.64453750207692,-74.01241389983072,"(40.64453750207692, -74.01241389983072)"
352851,38475551,2018-02-15 00:00:00,02/15/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Construction Site,11221,916 GREENE AVENUE,GREENE AVENUE,,,,,LATLONG,BROOKLYN,,,Closed,03/17/2018 05:03:10 PM,02/15/2018 05:06:35 PM,Unspecified BROOKLYN,BROOKLYN,1003280.0,190846.0,Unspecified,BROOKLYN,,,,,,,,40.69048449788032,-73.93137900549056,"(40.69048449788032, -73.93137900549056)"
352852,38475046,2018-02-15 00:00:00,02/15/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10002,155 HENRY STREET,HENRY STREET,RUTGERS STREET,JEFFERSON STREET,,,ADDRESS,NEW YORK,,,Closed,03/17/2018 03:01:55 PM,02/15/2018 03:04:22 PM,03 MANHATTAN,MANHATTAN,987114.0,199198.0,Unspecified,MANHATTAN,,,,,,,,40.71342877560947,-73.98966904046424,"(40.713428775609465, -73.98966904046424)"
352853,38475030,2018-02-15 00:00:00,02/15/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,11226,2111 ALBERMARLE ROAD,ALBERMARLE ROAD,EAST 21 STREET,FLATBUSH AVENUE,,,ADDRESS,BROOKLYN,,,Closed,03/17/2018 12:22:56 PM,02/15/2018 12:29:26 PM,14 BROOKLYN,BROOKLYN,995634.0,175151.0,Unspecified,BROOKLYN,,,,,,,,40.647418368300954,-73.95897650442079,"(40.64741836830095, -73.9589765044208)"
352854,38473966,2018-02-15 00:00:00,02/15/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10462,1811 RADCLIFF AVENUE,RADCLIFF AVENUE,MORRIS PARK AVENUE,RHINELANDER AVENUE,,,ADDRESS,BRONX,,,Closed,03/17/2018 11:45:19 PM,02/15/2018 12:00:00 AM,11 BRONX,BRONX,1023693.0,248316.0,Unspecified,BRONX,,,,,,,,40.848157011516534,-73.85743381946105,"(40.84815701151653, -73.85743381946104)"
352855,38473965,2018-02-15 00:00:00,02/15/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,Commercial Building,10016,570 SECOND AVENUE,SECOND AVENUE,EAST 31 STREET,EAST 32 STREET,,,ADDRESS,NEW YORK,,,Closed,03/17/2018 10:05:56 AM,02/15/2018 10:13:55 AM,06 MANHATTAN,MANHATTAN,990611.0,209995.0,Unspecified,MANHATTAN,,,,,,,,40.74306208222265,-73.97704453102986,"(40.74306208222265, -73.97704453102986)"
352856,38473917,2018-02-15 00:00:00,02/15/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Mixed Use Building,10022,342 EAST   50 STREET,EAST   50 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,,,Closed,03/17/2018 03:18:42 AM,02/15/2018 03:25:47 AM,06 MANHATTAN,MANHATTAN,993264.0,214134.0,Unspecified,MANHATTAN,,,,,,,,40.75442028792549,-73.96746488258691,"(40.75442028792549, -73.96746488258691)"
352857,38472920,2018-02-15 00:00:00,02/15/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10452,1314 MERRIAM AVENUE,MERRIAM AVENUE,WEST 169 STREET,WEST 170 STREET,,,ADDRESS,BRONX,,,Closed,03/17/2018 07:24:28 AM,02/15/2018 07:29:08 AM,04 BRONX,BRONX,1004693.0,245584.0,Unspecified,BRONX,,,,,,,,40.84072290722596,-73.92611733894245,"(40.84072290722596, -73.92611733894246)"
352858,38472519,2018-02-15 00:00:00,02/15/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,11433,165-11 108 AVENUE,108 AVENUE,165 STREET,166 STREET,,,ADDRESS,Jamaica,,,Closed,03/17/2018 05:46:29 PM,02/15/2018 05:55:18 PM,12 QUEENS,QUEENS,1042764.0,193478.0,Unspecified,QUEENS,,,,,,,,40.69753573680428,-73.78897966291615,"(40.69753573680427, -73.78897966291615)"
