743960,38921690,2018-04-12 00:00:00,04/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,Other (Explain Below),11217,65 SAINT MARKS AVENUE,SAINT MARKS AVENUE,,,,,LATLONG,BROOKLYN,,,Closed,05/12/2018 08:50:14 PM,04/12/2018 08:53:15 PM,Unspecified BROOKLYN,BROOKLYN,991150.0,187067.0,Unspecified,BROOKLYN,,,,,,,,40.68012977632454,-73.97512289536472,"(40.68012977632454, -73.97512289536472)"
743961,38921412,2018-04-12 00:00:00,04/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,Commercial Building,11101,28-2 42ND ROAD,42ND ROAD,,,,,LATLONG,LONG ISLAND CITY,,,Closed,05/12/2018 10:50:46 PM,04/12/2018 12:00:00 AM,Unspecified QUEENS,QUEENS,1000947.0,212120.0,Unspecified,QUEENS,,,,,,,,40.748881198376644,-73.93973888203361,"(40.748881198376644, -73.93973888203361)"
743962,38921325,2018-04-12 00:00:00,04/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,11208,649 PINE STREET,PINE STREET,DUMONT AVENUE,LINDEN BOULEVARD,,,ADDRESS,BROOKLYN,,,Closed,05/12/2018 12:02:39 PM,04/12/2018 12:08:44 PM,05 BROOKLYN,BROOKLYN,1020466.0,183170.0,Unspecified,BROOKLYN,,,,,,,,40.669362003205364,-73.86944868200297,"(40.66936200320537, -73.86944868200297)"
743963,38921292,2018-04-12 00:00:00,04/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Commercial Building,10035,130 EAST 125TH STREET,EAST 125TH STREET,,,,,LATLONG,NEW YORK,,,Closed,05/12/2018 01:13:39 PM,04/12/2018 01:15:31 PM,Unspecified MANHATTAN,MANHATTAN,1001445.0,232307.0,Unspecified,MANHATTAN,,,,,,,,40.804288232070924,-73.93788989299794,"(40.80428823207092, -73.93788989299794)"
743964,38921052,2018-04-12 00:00:00,04/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Single Room Occupancy (SRO),10029,163 EAST  115 STREET,EAST  115 STREET,LEXINGTON AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,,Closed,05/12/2018 04:44:01 PM,04/12/2018 04:45:38 PM,11 MANHATTAN,MANHATTAN,1000447.0,229902.0,Unspecified,MANHATTAN,,,,,,,,40.79768905214843,-73.94150057189742,"(40.79768905214843, -73.94150057189742)"
743965,38920981,2018-04-12 00:00:00,04/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apt. Building,10457,346 EAST 173RD STREET,EAST 173RD STREET,,,,,LATLONG,BRONX,,,Closed,05/12/2018 09:37:11 AM,04/12/2018 09:40:35 AM,Unspecified BRONX,BRONX,1010467.0,246503.0,Unspecified,BRONX,,,,,,,,40.843230037937616,-73.90524605614317,"(40.843230037937616, -73.90524605614317)"
743966,38920549,2018-04-12 00:00:00,04/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Construction Site,11101,28-10 QUEENS PLAZA SOUTH,QUEENS PLAZA SOUTH,28 STREET,JACKSON AVENUE,,,ADDRESS,Long Island City,,,Closed,05/12/2018 10:39:22 PM,04/12/2018 12:00:00 AM,02 QUEENS,QUEENS,1001276.0,212393.0,Unspecified,QUEENS,,,,,,,,40.74962988704893,-73.93855079783306,"(40.749629887048926, -73.93855079783307)"
743967,38920470,2018-04-12 00:00:00,04/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10002,28 MARKET STREET,MARKET STREET,,,,,LATLONG,NEW YORK,,,Closed,05/12/2018 08:30:39 PM,04/12/2018 08:34:06 PM,Unspecified MANHATTAN,MANHATTAN,985848.0,198987.0,Unspecified,MANHATTAN,,,,,,,,40.7128499501453,-73.9942357786488,"(40.7128499501453, -73.9942357786488)"
743968,38920448,2018-04-12 00:00:00,04/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11238,505 VANDERBILT AVENUE,VANDERBILT AVENUE,FULTON STREET,ATLANTIC AVENUE,,,ADDRESS,BROOKLYN,,,Closed,05/12/2018 07:45:39 AM,04/12/2018 07:49:03 AM,02 BROOKLYN,BROOKLYN,993182.0,188116.0,Unspecified,BROOKLYN,,,,,,,,40.683007225495246,-73.96779537845784,"(40.683007225495246, -73.96779537845784)"
743969,38920300,2018-04-12 00:00:00,04/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,Single Room Occupancy (SRO),10029,163 EAST  115 STREET,EAST  115 STREET,LEXINGTON AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,,Closed,05/12/2018 04:53:12 PM,04/12/2018 04:58:55 PM,11 MANHATTAN,MANHATTAN,1000447.0,229902.0,Unspecified,MANHATTAN,,,,,,,,40.79768905214843,-73.94150057189742,"(40.79768905214843, -73.94150057189742)"
743970,38920193,2018-04-12 00:00:00,04/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,10035,2026 LEXINGTON AVENUE,LEXINGTON AVENUE,EAST 123 STREET,EAST 124 STREET,,,ADDRESS,NEW YORK,,,Closed,05/12/2018 09:38:16 AM,04/12/2018 09:41:37 AM,11 MANHATTAN,MANHATTAN,1001346.0,231932.0,Unspecified,MANHATTAN,,,,,,,,40.80325915245231,-73.93824844593263,"(40.803259152452306, -73.93824844593264)"
743971,38920164,2018-04-12 00:00:00,04/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,11226,410 EAST   28 STREET,EAST   28 STREET,AVENUE D,NEWKIRK AVENUE,,,ADDRESS,BROOKLYN,,,Closed,05/12/2018 10:52:50 AM,04/12/2018 10:55:50 AM,17 BROOKLYN,BROOKLYN,998017.0,172627.0,Unspecified,BROOKLYN,,,,,,,,40.640487148890635,-73.95039425433521,"(40.64048714889063, -73.95039425433521)"
743972,38919691,2018-04-12 00:00:00,04/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10467,2710 HOLLAND AVENUE,HOLLAND AVENUE,ALLERTON AVENUE,ARNOW AVENUE,,,ADDRESS,BRONX,,,Closed,05/12/2018 10:50:39 AM,04/12/2018 10:55:50 AM,11 BRONX,BRONX,1021486.0,254781.0,Unspecified,BRONX,,,,,,,,40.865911063789575,-73.86537506479822,"(40.86591106378958, -73.86537506479822)"
743973,38919689,2018-04-12 00:00:00,04/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11221,1233 MADISON STREET,MADISON STREET,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,,Closed,05/12/2018 10:06:35 AM,04/12/2018 10:12:42 AM,04 BROOKLYN,BROOKLYN,1008205.0,192324.0,Unspecified,BROOKLYN,,,,,,,,40.69452930452839,-73.91361451677841,"(40.69452930452838, -73.91361451677841)"
743974,38919454,2018-04-12 00:00:00,04/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11205,138-156 TAAFFE PLACE,TAAFFE PLACE,,,,,LATLONG,BROOKLYN,,,Closed,05/12/2018 10:27:48 PM,04/12/2018 12:00:00 AM,Unspecified BROOKLYN,BROOKLYN,995235.0,192283.0,Unspecified,BROOKLYN,,,,,,,,40.69444237215558,-73.96038642561322,"(40.69444237215558, -73.96038642561322)"
743975,38919082,2018-04-12 00:00:00,04/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10470,272 EAST 237TH STREET,EAST 237TH STREET,,,,,LATLONG,BRONX,,,Closed,05/12/2018 07:53:10 PM,04/12/2018 07:56:45 PM,Unspecified BRONX,BRONX,1020690.0,266725.0,Unspecified,BRONX,,,,,,,,40.89869690475906,-73.86818797990814,"(40.89869690475906, -73.86818797990814)"
743976,38918870,2018-04-12 00:00:00,04/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10469,2959 PAULDING AVENUE,PAULDING AVENUE,BOSTON ROAD,ADEE AVENUE,,,ADDRESS,BRONX,,,Closed,05/12/2018 07:45:34 PM,04/12/2018 07:48:40 PM,11 BRONX,BRONX,1023366.0,255939.0,Unspecified,BRONX,,,,,,,,40.8690812867594,-73.85857126880425,"(40.8690812867594, -73.85857126880425)"
743977,38918826,2018-04-12 00:00:00,04/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Catch Basin/Sewer,11215,408 8 AVENUE,8 AVENUE,4 STREET,5 STREET,,,ADDRESS,BROOKLYN,,,Closed,05/12/2018 10:25:13 AM,04/12/2018 10:29:10 AM,06 BROOKLYN,BROOKLYN,990681.0,182884.0,Unspecified,BROOKLYN,,,,,,,,40.66864873577432,-73.9768178085154,"(40.66864873577432, -73.9768178085154)"
743978,38918753,2018-04-12 00:00:00,04/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10457,1930 GRAND CONCOURSE,GRAND CONCOURSE,ECHO PLACE,EAST 178 STREET,,,ADDRESS,BRONX,,,Closed,05/12/2018 02:55:53 PM,04/12/2018 03:02:55 PM,05 BRONX,BRONX,1010405.0,249008.0,Unspecified,BRONX,,,,,,,,40.85010570559272,-73.90546036631885,"(40.85010570559272, -73.90546036631885)"
743979,38915993,2018-04-12 00:00:00,04/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,11106,32-55 31 STREET,31 STREET,BROADWAY,34 AVENUE,,,ADDRESS,Astoria,,,Closed,05/12/2018 01:34:54 AM,04/12/2018 12:00:00 AM,01 QUEENS,QUEENS,1004828.0,216736.0,Unspecified,QUEENS,,,,,,,,40.76154275977785,-73.92571784948397,"(40.761542759777846, -73.92571784948397)"
743980,38919685,2018-04-12 00:00:00,05/16/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Commercial Building,11101,27-20 42ND ROAD,42ND ROAD,,,,,LATLONG,LONG ISLAND CITY,,,Closed,05/12/2018 10:46:45 PM,05/16/2018 12:00:00 AM,Unspecified QUEENS,QUEENS,1000829.0,212180.0,Unspecified,QUEENS,,,,,,,,40.749046105244425,-73.94016460760902,"(40.74904610524442, -73.94016460760902)"
743981,38918318,2018-04-12 00:00:00,05/16/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Construction Site,11101,42-37 27TH STREET,27TH STREET,,,,,LATLONG,LONG ISLAND CITY,,,Closed,05/12/2018 10:48:52 PM,05/16/2018 12:00:00 AM,Unspecified QUEENS,QUEENS,1000719.0,212237.0,Unspecified,QUEENS,,,,,,,,40.74920276139685,-73.94056146971673,"(40.74920276139685, -73.94056146971674)"
743982,38926098,2018-04-12 00:00:00,04/17/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11213,1105 STERLING PLACE,STERLING PLACE,,,,,LATLONG,BROOKLYN,,,Closed,05/12/2018 10:14:28 PM,04/17/2018 12:00:00 AM,08 BROOKLYN,BROOKLYN,1000321.0,184141.0,Unspecified,BROOKLYN,,,,,,,,40.672086668256405,-73.94206496247219,"(40.67208666825641, -73.94206496247219)"
743983,38926064,2018-04-12 00:00:00,04/19/2018 04:17:13 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11377,,,,,QUEENS BOULEVARD,65 STREET,INTERSECTION,Woodside,,,Closed,05/12/2018 06:40:26 PM,04/19/2018 04:17:13 PM,Unspecified QUEENS,QUEENS,1011803.0,209262.0,Unspecified,QUEENS,,,,,,,,40.74100954676229,-73.90057024365115,"(40.74100954676229, -73.90057024365116)"
743984,38926033,2018-04-12 00:00:00,04/17/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,11212,322 EAST   91 STREET,EAST   91 STREET,CLARKSON AVENUE,LENOX ROAD,,,ADDRESS,BROOKLYN,,,Closed,05/12/2018 10:53:46 AM,04/17/2018 12:00:00 AM,17 BROOKLYN,BROOKLYN,1005400.0,178790.0,Unspecified,BROOKLYN,,,,,,,,40.65738868850985,-73.92377225189833,"(40.657388688509855, -73.92377225189833)"
743985,38925870,2018-04-12 00:00:00,04/18/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10467,710 E 215TH ST,E 215TH ST,,,,,LATLONG,BRONX,,,Closed,05/12/2018 04:13:16 PM,04/18/2018 12:00:00 AM,12 BRONX,BRONX,1021858.0,259965.0,Unspecified,BRONX,,,,,,,,40.88013795766246,-73.86400102053787,"(40.88013795766246, -73.86400102053788)"
743986,38925835,2018-04-12 00:00:00,04/13/2018 12:26:14 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,11225,576 EASTERN PARKWAY,EASTERN PARKWAY,NOSTRAND AVENUE,NEW YORK AVENUE,,,ADDRESS,BROOKLYN,,,Closed,05/12/2018 03:23:42 PM,04/13/2018 12:26:14 PM,09 BROOKLYN,BROOKLYN,998311.0,183303.0,Unspecified,BROOKLYN,,,,,,,,40.669789966830116,-73.9493126440319,"(40.66978996683012, -73.9493126440319)"
743987,38925640,2018-04-12 00:00:00,04/19/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Other (Explain Below),10034,204 SHERMAN AVENUE,SHERMAN AVENUE,WEST 204 STREET,WEST 207 STREET,,,ADDRESS,NEW YORK,,,Closed,05/12/2018 08:46:22 AM,04/19/2018 12:00:00 AM,12 MANHATTAN,MANHATTAN,1006090.0,254584.0,Unspecified,MANHATTAN,,,,,,,,40.86542187636733,-73.92103915036589,"(40.86542187636733, -73.92103915036589)"
743988,38925369,2018-04-12 00:00:00,04/17/2018 08:01:42 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apt. Building,11385,1705 PUTNAM AVENUE,PUTNAM AVENUE,CYPRESS AVENUE,SENECA AVENUE,,,ADDRESS,Ridgewood,,,Closed,05/12/2018 08:47:10 AM,04/17/2018 08:01:42 AM,05 QUEENS,QUEENS,1010198.0,194528.0,Unspecified,QUEENS,,,,,,,,40.70057314889768,-73.90641896088128,"(40.700573148897675, -73.90641896088128)"
743989,38925224,2018-04-12 00:00:00,04/16/2018 05:14:38 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11208,87 HILL STREET,HILL STREET,CRESCENT STREET,AUTUMN AVENUE,,,ADDRESS,BROOKLYN,,,Closed,05/12/2018 09:59:11 AM,04/16/2018 05:14:38 PM,05 BROOKLYN,BROOKLYN,1020298.0,186679.0,Unspecified,BROOKLYN,,,,,,,,40.678994094216414,-73.87003551981971,"(40.678994094216414, -73.8700355198197)"
743990,38925082,2018-04-12 00:00:00,04/17/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,1-2 Family Dwelling,10473,2053 TURNBULL AVENUE,TURNBULL AVENUE,,,,,LATLONG,BRONX,,,Closed,05/12/2018 07:43:01 PM,04/17/2018 12:00:00 AM,09 BRONX,BRONX,1024869.0,239399.0,Unspecified,BRONX,,,,,,,,40.82367712859819,-73.85323719109593,"(40.823677128598185, -73.85323719109593)"
743991,38925075,2018-04-12 00:00:00,04/17/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,1-2 Family Dwelling,11370,78TH STREET,78TH STREET,,,,,LATLONG,EAST ELMHURST,,,Closed,05/12/2018 08:06:47 PM,04/17/2018 12:00:00 AM,Unspecified QUEENS,QUEENS,1014894.0,215031.0,Unspecified,QUEENS,,,,,,,,40.756833815712966,-73.88938956012083,"(40.75683381571297, -73.88938956012083)"
743992,38924828,2018-04-12 00:00:00,04/17/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,11213,1105 STERLING PLACE,STERLING PLACE,,,,,LATLONG,BROOKLYN,,,Closed,05/12/2018 10:16:04 PM,04/17/2018 12:00:00 AM,08 BROOKLYN,BROOKLYN,1000321.0,184141.0,Unspecified,BROOKLYN,,,,,,,,40.672086668256405,-73.94206496247219,"(40.67208666825641, -73.94206496247219)"
743993,38924812,2018-04-12 00:00:00,04/18/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,11370,84-07 NORTHERN BOULEVARD,NORTHERN BOULEVARD,,,,,LATLONG,EAST ELMHURST,,,Closed,05/12/2018 04:47:27 PM,04/18/2018 12:00:00 AM,03 QUEENS,QUEENS,1016600.0,214726.0,Unspecified,QUEENS,,,,,,,,40.75599059189371,-73.8832331764048,"(40.75599059189371, -73.88323317640479)"
743994,38924746,2018-04-12 00:00:00,05/01/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11418,129-11 89 AVENUE,89 AVENUE,129 STREET,130 STREET,,,ADDRESS,Richmond Hill,,,Closed,05/12/2018 11:21:44 AM,05/01/2018 12:00:00 AM,09 QUEENS,QUEENS,1033623.0,194179.0,Unspecified,QUEENS,,,,,,,,40.699515534529155,-73.82193981615569,"(40.699515534529155, -73.82193981615568)"
743995,38924645,2018-04-12 00:00:00,04/17/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,11378,57-22 69 LANE,69 LANE,GRAND AVENUE,57 DRIVE,,,ADDRESS,Maspeth,,,Closed,05/12/2018 04:13:20 PM,04/17/2018 12:00:00 AM,05 QUEENS,QUEENS,1013787.0,203888.0,Unspecified,QUEENS,,,,,,,,40.72625284592966,-73.8934342364339,"(40.72625284592966, -73.8934342364339)"
743996,38924563,2018-04-12 00:00:00,04/17/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,11216,MACON STREET,MACON STREET,ARLINGTON PLACE,NOSTRAND AVENUE,,,BLOCKFACE,BROOKLYN,,,Closed,05/12/2018 11:14:31 AM,04/17/2018 12:00:00 AM,03 BROOKLYN,BROOKLYN,997995.0,187381.0,Unspecified,BROOKLYN,,,,,,,,40.680983652667976,-73.95044344998692,"(40.680983652667976, -73.95044344998692)"
743997,38924493,2018-04-12 00:00:00,04/17/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11225,1180 CARROLL STREET,CARROLL STREET,ROGERS AVENUE,NOSTRAND AVENUE,,,ADDRESS,BROOKLYN,,,Closed,05/12/2018 09:30:02 PM,04/17/2018 12:00:00 AM,09 BROOKLYN,BROOKLYN,997749.0,182361.0,Unspecified,BROOKLYN,,,,,,,,40.667205262041215,-73.95134043803077,"(40.66720526204121, -73.95134043803077)"
743998,38924471,2018-04-12 00:00:00,04/13/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10454,461 EAST 140TH STREET,EAST 140TH STREET,,,,,LATLONG,BRONX,,,Closed,05/12/2018 03:09:53 AM,04/13/2018 12:00:00 AM,01 BRONX,BRONX,1006428.0,234311.0,Unspecified,BRONX,,,,,,,,40.809777553711136,-73.91988417341963,"(40.80977755371113, -73.91988417341963)"
743999,38924372,2018-04-12 00:00:00,04/23/2018 12:00:01 AM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,11236,972 REMSEN AVENUE,REMSEN AVENUE,FOSTER AVENUE,REMSEN AVENUE,REMSEN AVENUE,FOSTER AVENUE,ADDRESS,BROOKLYN,,,Closed,04/26/2018 09:53:56 AM,04/23/2018 12:33:04 PM,18 BROOKLYN,BROOKLYN,1008967.0,174162.0,Unspecified,BROOKLYN,,,,,,,,40.64467660302473,-73.9109332210081,"(40.64467660302473, -73.9109332210081)"
744000,38924324,2018-04-12 00:00:00,04/17/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,11237,472 SUYDAM STREET,SUYDAM STREET,ST NICHOLAS AVENUE,CYPRESS AVENUE,,,ADDRESS,BROOKLYN,,,Closed,05/12/2018 02:34:56 PM,04/17/2018 12:00:00 AM,04 BROOKLYN,BROOKLYN,1006799.0,196931.0,Unspecified,BROOKLYN,,,,,,,,40.7071781302125,-73.91866934501374,"(40.7071781302125, -73.91866934501374)"
744001,38924284,2018-04-12 00:00:00,04/23/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10025,120 WEST 94TH STREET,WEST 94TH STREET,,,,,LATLONG,NEW YORK,,,Closed,05/12/2018 10:27:29 AM,04/23/2018 12:00:00 AM,07 MANHATTAN,MANHATTAN,992579.0,227801.0,Unspecified,MANHATTAN,,,,,,,,40.79193329556326,-73.96992038122124,"(40.79193329556326, -73.96992038122124)"
744002,38924281,2018-04-12 00:00:00,04/23/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,11364,217-15 49 AVENUE,49 AVENUE,217 STREET,SPRINGFIELD BOULEVARD,,,ADDRESS,Oakland Gardens,,,Closed,05/12/2018 10:07:38 PM,04/23/2018 12:00:00 AM,11 QUEENS,QUEENS,1049887.0,214606.0,Unspecified,QUEENS,,,,,,,,40.75547677763885,-73.76308587463085,"(40.75547677763884, -73.76308587463085)"
