743950,38925910,2018-04-12 00:00:00,04/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10002,28 MARKET STREET,MARKET STREET,,,,,LATLONG,NEW YORK,,,Closed,05/12/2018 07:06:41 AM,04/12/2018 07:09:41 AM,Unspecified MANHATTAN,MANHATTAN,985848.0,198987.0,Unspecified,MANHATTAN,,,,,,,,40.7128499501453,-73.9942357786488,"(40.7128499501453, -73.9942357786488)"
743951,38925814,2018-04-12 00:00:00,04/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10024,337 WEST   84 STREET,WEST   84 STREET,WEST END AVENUE,RIVERSIDE DRIVE,,,ADDRESS,NEW YORK,,,Closed,05/12/2018 10:25:10 AM,04/12/2018 10:33:17 AM,07 MANHATTAN,MANHATTAN,989751.0,226414.0,Unspecified,MANHATTAN,,,,,,,,40.788128566316665,-73.98013464699437,"(40.788128566316665, -73.98013464699437)"
743952,38925052,2018-04-12 00:00:00,04/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,11101,28-2 42ND ROAD,42ND ROAD,,,,,LATLONG,LONG ISLAND CITY,,,Closed,05/12/2018 10:51:20 PM,04/12/2018 12:00:00 AM,Unspecified QUEENS,QUEENS,1000947.0,212120.0,Unspecified,QUEENS,,,,,,,,40.748881198376644,-73.93973888203361,"(40.748881198376644, -73.93973888203361)"
743953,38924998,2018-04-12 00:00:00,04/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10470,272 EAST  237 STREET,EAST  237 STREET,KEPLER AVENUE,KATONAH AVENUE,,,ADDRESS,BRONX,,,Closed,05/12/2018 11:40:36 PM,04/12/2018 12:00:00 AM,12 BRONX,BRONX,1020579.0,266771.0,Unspecified,BRONX,,,,,,,,40.89882361762877,-73.8685892427015,"(40.898823617628764, -73.8685892427015)"
743954,38924992,2018-04-12 00:00:00,04/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apt. Building,10011,248 WEST 21ST STREET,WEST 21ST STREET,,,,,LATLONG,NEW YORK,,,Closed,05/12/2018 08:33:01 AM,04/12/2018 08:35:42 AM,Unspecified MANHATTAN,MANHATTAN,984636.0,210141.0,Unspecified,MANHATTAN,,,,,,,,40.7434650950179,-73.99860700133296,"(40.74346509501791, -73.99860700133296)"
743955,38924369,2018-04-12 00:00:00,04/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11225,410 EASTERN PARKWAY,EASTERN PARKWAY,BEDFORD AVENUE,ROGERS AVENUE,,,ADDRESS,BROOKLYN,,,Closed,05/12/2018 07:14:07 AM,04/12/2018 07:17:44 AM,09 BROOKLYN,BROOKLYN,996798.0,183410.0,Unspecified,BROOKLYN,,,,,,,,40.670085931603296,-73.95476653454561,"(40.670085931603296, -73.95476653454561)"
743956,38924127,2018-04-12 00:00:00,04/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10031,539 WEST  148 STREET,WEST  148 STREET,AMSTERDAM AVENUE,BROADWAY,,,ADDRESS,NEW YORK,,,Closed,05/12/2018 05:47:59 PM,04/12/2018 05:57:24 PM,09 MANHATTAN,MANHATTAN,998820.0,240816.0,Unspecified,MANHATTAN,,,,,,,,40.82764776782164,-73.94735318799134,"(40.82764776782164, -73.94735318799134)"
743957,38923516,2018-04-12 00:00:00,04/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,10303,273 PULASKI AVENUE,PULASKI AVENUE,,,,,LATLONG,STATEN ISLAND,,,Closed,05/12/2018 07:11:52 PM,04/12/2018 07:14:23 PM,Unspecified STATEN ISLAND,STATEN ISLAND,943316.0,169443.0,Unspecified,STATEN ISLAND,,,,,,,,40.6316638676113,-74.14747541089908,"(40.6316638676113, -74.14747541089908)"
743958,38922891,2018-04-12 00:00:00,04/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Cat,3+ Family Apartment Building,10457,4278 3 AVENUE,3 AVENUE,EAST 178 STREET,EAST 179 STREET,,,ADDRESS,BRONX,,,Closed,05/12/2018 12:17:07 PM,04/12/2018 12:30:30 PM,06 BRONX,BRONX,1013208.0,248360.0,Unspecified,BRONX,,,,,,,,40.84831839029192,-73.8953314749936,"(40.84831839029192, -73.8953314749936)"
743959,38921912,2018-04-12 00:00:00,04/12/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10470,272 E 237TH ST,E 237TH ST,,,,,LATLONG,BRONX,,,Closed,05/12/2018 06:42:22 PM,04/12/2018 06:45:08 PM,Unspecified BRONX,BRONX,1020686.0,266713.0,Unspecified,BRONX,,,,,,,,40.89866398515685,-73.86820251413293,"(40.898663985156844, -73.86820251413293)"
