2575566,41126575,2018-12-06 00:00:00,12/06/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11237,305 JEFFERSON STREET,JEFFERSON STREET,,,,,LATLONG,BROOKLYN,,,Closed,01/05/2019 09:11:07 AM,12/06/2018 09:12:51 AM,Unspecified BROOKLYN,BROOKLYN,1004665.0,195974.0,Unspecified,BROOKLYN,,,,,,,,40.70455657272129,-73.9263692410357,"(40.70455657272129, -73.9263692410357)"
2575567,41126403,2018-12-06 00:00:00,12/06/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,11226,229 EAST   18 STREET,EAST   18 STREET,ALBEMARLE ROAD,BEVERLEY ROAD,,,ADDRESS,BROOKLYN,,,Closed,01/05/2019 10:33:25 AM,12/06/2018 10:36:44 AM,14 BROOKLYN,BROOKLYN,994699.0,174513.0,Unspecified,BROOKLYN,,,,,,,,40.645668348820905,-73.96234686753826,"(40.64566834882091, -73.96234686753827)"
2575568,41125251,2018-12-06 00:00:00,12/06/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,Other (Explain Below),11232,774 39 STREET,39 STREET,,,,,LATLONG,BROOKLYN,,,Closed,01/05/2019 02:44:01 PM,12/06/2018 02:47:07 PM,Unspecified BROOKLYN,BROOKLYN,984896.0,175107.0,Unspecified,BROOKLYN,,,,,,,,40.64730489095805,-73.99767207202163,"(40.647304890958054, -73.99767207202162)"
2575569,41124898,2018-12-06 00:00:00,12/06/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,11237,305 JEFFERSON STREET,JEFFERSON STREET,,,,,LATLONG,BROOKLYN,,,Closed,01/05/2019 09:11:32 AM,12/06/2018 09:15:59 AM,Unspecified BROOKLYN,BROOKLYN,1004665.0,195974.0,Unspecified,BROOKLYN,,,,,,,,40.70455657272129,-73.9263692410357,"(40.70455657272129, -73.9263692410357)"
2575570,41124260,2018-12-06 00:00:00,12/06/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11230,1000 OCEAN PARKWAY,OCEAN PARKWAY,BAY PARKWAY,AVENUE J,,,ADDRESS,BROOKLYN,,,Closed,01/05/2019 05:51:13 PM,12/06/2018 05:54:59 PM,12 BROOKLYN,BROOKLYN,992433.0,166759.0,Unspecified,BROOKLYN,,,,,,,,40.62438765187749,-73.97052183565168,"(40.624387651877484, -73.97052183565168)"
2575571,41123412,2018-12-06 00:00:00,12/06/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10452,1324 OGDEN AVENUE,OGDEN AVENUE,,,,,LATLONG,BRONX,,,Closed,01/05/2019 06:38:20 PM,12/06/2018 06:40:28 PM,Unspecified BRONX,BRONX,1004994.0,245543.0,Unspecified,BRONX,,,,,,,,40.840609672276294,-73.9250296278601,"(40.8406096722763, -73.9250296278601)"
2575572,41122961,2018-12-06 00:00:00,12/06/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11354,37-33 COLLEGE POINT BOULEVARD,COLLEGE POINT BOULEVARD,37 AVENUE,39 AVENUE,,,ADDRESS,Flushing,,,Closed,01/05/2019 12:26:18 PM,12/06/2018 12:31:48 PM,07 QUEENS,QUEENS,1030003.0,216223.0,Unspecified,QUEENS,,,,,,,,40.760040270585606,-73.83484516599584,"(40.760040270585606, -73.83484516599584)"
2575573,41119817,2018-12-06 00:00:00,12/06/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11358,32-51 UTOPIA PARKWAY,UTOPIA PARKWAY,32 AVENUE,33 AVENUE,,,ADDRESS,Flushing,,,Closed,01/05/2019 10:36:38 AM,12/06/2018 10:44:59 AM,11 QUEENS,QUEENS,1041710.0,219130.0,Unspecified,QUEENS,,,,,,,,40.76795088014968,-73.79256164181895,"(40.76795088014968, -73.79256164181896)"
2575574,41119774,2018-12-06 00:00:00,12/06/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10031,617 WEST  152 STREET,WEST  152 STREET,BROADWAY,RIVERSIDE DRIVE,,,ADDRESS,NEW YORK,,,Closed,01/05/2019 04:46:33 PM,12/06/2018 04:56:42 PM,09 MANHATTAN,MANHATTAN,998687.0,242077.0,Unspecified,MANHATTAN,,,,,,,,40.83110906969215,-73.94783105256715,"(40.83110906969215, -73.94783105256715)"
2575575,41119761,2018-12-06 00:00:00,12/06/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11354,37-33 COLLEGE POINT BOULEVARD,COLLEGE POINT BOULEVARD,37 AVENUE,39 AVENUE,,,ADDRESS,Flushing,,,Closed,01/05/2019 09:07:16 AM,12/06/2018 09:15:59 AM,07 QUEENS,QUEENS,1030003.0,216223.0,Unspecified,QUEENS,,,,,,,,40.760040270585606,-73.83484516599584,"(40.760040270585606, -73.83484516599584)"
