446476,38585819,2018-03-01 00:00:00,04/02/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apt. Building,11238,347 LINCOLN PLACE,LINCOLN PLACE,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,,Closed,03/31/2018 01:58:55 PM,04/02/2019 12:00:00 AM,08 BROOKLYN,BROOKLYN,993945.0,184564.0,Unspecified,BROOKLYN,,,,,,,,40.67325698681136,-73.96504946681513,"(40.67325698681136, -73.96504946681512)"
446477,38586556,2018-03-01 00:00:00,03/01/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Mixed Use Building,10031,611 WEST  148 STREET,WEST  148 STREET,BROADWAY,RIVERSIDE DRIVE,,,ADDRESS,NEW YORK,,,Closed,03/31/2018 10:49:58 AM,03/01/2018 10:53:47 AM,09 MANHATTAN,MANHATTAN,998139.0,241193.0,Unspecified,MANHATTAN,,,,,,,,40.82868362208559,-73.94981311246337,"(40.82868362208559, -73.94981311246337)"
446478,38585935,2018-03-01 00:00:00,03/01/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10033,854 WEST  180 STREET,WEST  180 STREET,PINEHURST AVENUE,CABRINI BOULEVARD,,,ADDRESS,NEW YORK,,,Closed,03/31/2018 10:07:10 AM,03/01/2018 10:12:51 AM,12 MANHATTAN,MANHATTAN,1000823.0,249055.0,Unspecified,MANHATTAN,,,,,,,,40.85025789143697,-73.94009524940759,"(40.85025789143697, -73.94009524940759)"
446479,38585617,2018-03-01 00:00:00,03/01/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11221,1225 BUSHWICK AVENUE,BUSHWICK AVENUE,HANCOCK STREET,WEIRFIELD STREET,,,ADDRESS,BROOKLYN,,,Closed,03/31/2018 03:26:01 PM,03/01/2018 03:31:41 PM,04 BROOKLYN,BROOKLYN,1007773.0,189880.0,Unspecified,BROOKLYN,,,,,,,,40.68782225004939,-73.91518090940696,"(40.68782225004939, -73.91518090940696)"
446480,38585615,2018-03-01 00:00:00,03/01/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11377,41-28 67TH ST,67TH ST,,,,,LATLONG,WOODSIDE,,,Closed,03/31/2018 05:23:22 PM,03/01/2018 05:26:04 PM,Unspecified QUEENS,QUEENS,1012538.0,210221.0,Unspecified,QUEENS,,,,,,,,40.74363944043434,-73.89791383852348,"(40.74363944043434, -73.89791383852348)"
446481,38585527,2018-03-01 00:00:00,03/01/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,1-2 Family Dwelling,10310,1742 RICHMOND TERRACE,RICHMOND TERRACE,TAYLOR STREET,DONGAN STREET,,,ADDRESS,STATEN ISLAND,,,Closed,03/31/2018 08:59:28 AM,03/01/2018 09:02:58 AM,01 STATEN ISLAND,STATEN ISLAND,949867.0,171647.0,Unspecified,STATEN ISLAND,,,,,,,,40.63774122325084,-74.12388498919226,"(40.637741223250835, -74.12388498919226)"
446482,38584387,2018-03-01 00:00:00,03/01/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apt. Building,10022,253 EAST 52ND STREET,EAST 52ND STREET,,,,,LATLONG,NEW YORK,,,Closed,03/31/2018 09:49:51 AM,03/01/2018 09:52:08 AM,Unspecified MANHATTAN,MANHATTAN,993163.0,214844.0,Unspecified,MANHATTAN,,,,,,,,40.75636915951676,-73.96782849061168,"(40.75636915951676, -73.96782849061168)"
446483,38583890,2018-03-01 00:00:00,03/01/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Lot,10310,1742 RICHMOND TERRACE,RICHMOND TERRACE,TAYLOR STREET,DONGAN STREET,,,ADDRESS,STATEN ISLAND,,,Closed,03/31/2018 12:04:28 PM,03/01/2018 12:07:14 PM,01 STATEN ISLAND,STATEN ISLAND,949867.0,171647.0,Unspecified,STATEN ISLAND,,,,,,,,40.63774122325084,-74.12388498919226,"(40.637741223250835, -74.12388498919226)"
446484,38583267,2018-03-01 00:00:00,03/01/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,11206,161 HART STREET,HART STREET,TOMPKINS AVENUE,THROOP AVENUE,,,ADDRESS,BROOKLYN,,,Closed,03/31/2018 05:49:32 PM,03/01/2018 05:58:40 PM,03 BROOKLYN,BROOKLYN,999560.0,191992.0,Unspecified,BROOKLYN,,,,,,,,40.69363721947798,-73.9447904852543,"(40.69363721947798, -73.9447904852543)"
446485,38583002,2018-03-01 00:00:00,03/01/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10032,600 WEST  157 STREET,WEST  157 STREET,EDWARD M MORGAN PLACE,RIVERSIDE DRIVE,,,ADDRESS,NEW YORK,,,Closed,03/31/2018 11:38:32 AM,03/01/2018 11:46:20 AM,12 MANHATTAN,MANHATTAN,999304.0,243264.0,Unspecified,MANHATTAN,,,,,,,,40.83436601237611,-73.9455988235774,"(40.83436601237611, -73.94559882357741)"
