311606,38429909,2018-02-09 00:00:00,02/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Building,10027.0,1195 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST 118 STREET,WEST 119 STREET,,,ADDRESS,NEW YORK,,,Closed,03/11/2018 04:50:57 PM,02/09/2018 04:53:28 PM,09 MANHATTAN,MANHATTAN,995384.0,233859.0,Unspecified,MANHATTAN,,,,,,,,40.808557760064176,-73.95978026997496,"(40.808557760064176, -73.95978026997496)"
311607,38429136,2018-02-09 00:00:00,02/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10024.0,68 WEST   91 STREET,WEST   91 STREET,CENTRAL PARK WEST,COLUMBUS AVENUE,,,ADDRESS,NEW YORK,,,Closed,03/11/2018 06:37:39 PM,02/09/2018 06:39:48 PM,07 MANHATTAN,MANHATTAN,992766.0,226882.0,Unspecified,MANHATTAN,,,,,,,,40.78941070972924,-73.96924620866253,"(40.78941070972924, -73.96924620866251)"
311608,38428700,2018-02-09 00:00:00,02/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10457.0,1515 SELWYN AVENUE,SELWYN AVENUE,EAST 172 STREET,EAST MT EDEN AVENUE,,,ADDRESS,BRONX,,,Closed,03/11/2018 02:32:58 PM,02/09/2018 02:42:32 PM,04 BRONX,BRONX,1009067.0,245630.0,Unspecified,BRONX,,,,,,,,40.840837954747045,-73.910309187823,"(40.84083795474705, -73.910309187823)"
311609,38428255,2018-02-09 00:00:00,02/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11216.0,826 MARCY AVENUE,MARCY AVENUE,,,,,LATLONG,BROOKLYN,,,Closed,03/11/2018 07:55:04 PM,02/09/2018 07:59:23 PM,Unspecified BROOKLYN,BROOKLYN,998801.0,188962.0,Unspecified,BROOKLYN,,,,,,,,40.68532184838973,-73.94753406499505,"(40.685321848389734, -73.94753406499505)"
311610,38427923,2018-02-09 00:00:00,02/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,11211.0,294 NORTH    8 STREET,NORTH    8 STREET,HAVEMEYER STREET,MEEKER AVENUE,,,ADDRESS,BROOKLYN,,,Closed,03/11/2018 06:24:48 PM,02/09/2018 06:31:42 PM,01 BROOKLYN,BROOKLYN,997401.0,199967.0,Unspecified,BROOKLYN,,,,,,,,40.715530186236684,-73.95256049627741,"(40.71553018623669, -73.9525604962774)"
311611,38427206,2018-02-09 00:00:00,02/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,3+ Family Apartment Building,10025.0,244 WEST  109 STREET,WEST  109 STREET,AMSTERDAM AVENUE,BROADWAY,,,ADDRESS,NEW YORK,,,Closed,03/11/2018 02:05:29 PM,02/09/2018 02:09:49 PM,07 MANHATTAN,MANHATTAN,993722.0,231830.0,Unspecified,MANHATTAN,,,,,,,,40.80299065281518,-73.96578683158725,"(40.80299065281518, -73.96578683158725)"
311612,38426189,2018-02-09 00:00:00,02/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10031.0,463 WEST  142 STREET,WEST  142 STREET,CONVENT AVENUE,AMSTERDAM AVENUE,,,ADDRESS,NEW YORK,,,Closed,03/11/2018 07:25:37 PM,02/09/2018 07:36:10 PM,09 MANHATTAN,MANHATTAN,998624.0,239098.0,Unspecified,MANHATTAN,,,,,,,,40.822932668288274,-73.94806508897528,"(40.82293266828827, -73.94806508897528)"
311613,38425959,2018-02-09 00:00:00,02/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Other (Explain Below),10468.0,2337 GRAND CONCOURSE,GRAND CONCOURSE,EAST 183 STREET,FIELD PLACE,,,ADDRESS,BRONX,,,Closed,03/11/2018 12:33:27 PM,02/09/2018 12:36:28 PM,05 BRONX,BRONX,1012082.0,252034.0,Unspecified,BRONX,,,,,,,,40.85840604170503,-73.89938613893433,"(40.85840604170503, -73.89938613893433)"
311614,38425751,2018-02-09 00:00:00,02/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10024.0,70 WEST 91ST STREET,WEST 91ST STREET,,,,,LATLONG,NEW YORK,,,Closed,03/11/2018 10:42:48 AM,02/09/2018 10:45:12 AM,Unspecified MANHATTAN,MANHATTAN,992749.0,226831.0,Unspecified,MANHATTAN,,,,,,,,40.7892707447945,-73.96930766521034,"(40.7892707447945, -73.96930766521034)"
311615,38417588,2018-02-09 00:00:00,02/09/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10452.0,1035 ANDERSON AVENUE,ANDERSON AVENUE,WEST 164 STREET,WEST 165 STREET,,,ADDRESS,BRONX,,,Closed,03/11/2018 12:09:05 AM,02/09/2018 12:00:00 AM,04 BRONX,BRONX,1004599.0,242853.0,Unspecified,BRONX,,,,,,,,40.833227323231135,-73.92646534795769,"(40.833227323231135, -73.92646534795769)"
