397661,38530386,2018-02-22 00:00:00,02/22/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10022,344 EAST   50 STREET,EAST   50 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,,,Closed,03/24/2018 04:14:12 AM,02/22/2018 04:18:08 AM,06 MANHATTAN,MANHATTAN,993274.0,214129.0,Unspecified,MANHATTAN,,,,,,,,40.75440655399668,-73.96742879531637,"(40.75440655399668, -73.96742879531637)"
397662,38530048,2018-02-22 00:00:00,02/22/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10022,1073 1 AVENUE,1 AVENUE,EAST 58 STREET,EAST 59 STREET,,,ADDRESS,NEW YORK,,,Closed,03/24/2018 10:28:00 AM,02/22/2018 10:35:52 AM,06 MANHATTAN,MANHATTAN,994719.0,215914.0,Unspecified,MANHATTAN,,,,,,,,40.75930433048763,-73.96221043684649,"(40.75930433048763, -73.96221043684649)"
397663,38526456,2018-02-22 00:00:00,02/22/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Mixed Use Building,10462,2181 BARNES AVENUE,BARNES AVENUE,LYDIG AVENUE,PELHAM PARKWAY,,,ADDRESS,BRONX,,,Closed,03/24/2018 02:12:11 PM,02/22/2018 02:20:23 PM,11 BRONX,BRONX,1021918.0,251165.0,Unspecified,BRONX,,,,,,,,40.8559844119099,-73.86383351463321,"(40.85598441190991, -73.8638335146332)"
397664,38526316,2018-02-22 00:00:00,02/22/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10024,42 WEST   88 STREET,WEST   88 STREET,CENTRAL PARK WEST,COLUMBUS AVENUE,,,ADDRESS,NEW YORK,,,Closed,03/24/2018 02:17:02 AM,02/22/2018 02:20:35 AM,07 MANHATTAN,MANHATTAN,992657.0,226046.0,Unspecified,MANHATTAN,,,,,,,,40.787116218278065,-73.96964088615401,"(40.78711621827806, -73.96964088615401)"
397665,38526305,2018-02-22 00:00:00,02/22/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10452,1314 MERRIAM AVENUE,MERRIAM AVENUE,WEST 169 STREET,WEST 170 STREET,,,ADDRESS,BRONX,,,Closed,03/24/2018 10:02:24 PM,02/22/2018 12:00:00 AM,04 BRONX,BRONX,1004693.0,245584.0,Unspecified,BRONX,,,,,,,,40.84072290722596,-73.92611733894245,"(40.84072290722596, -73.92611733894246)"
397666,38525816,2018-02-22 00:00:00,02/22/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10030,678 SAINT NICHOLAS AVENUE,SAINT NICHOLAS AVENUE,WEST 141 STREET,WEST 145 STREET,,,ADDRESS,NEW YORK,,,Closed,03/24/2018 08:49:27 AM,02/22/2018 09:02:33 AM,09 MANHATTAN,MANHATTAN,999441.0,239218.0,Unspecified,MANHATTAN,,,,,,,,40.82326066693898,-73.94511290332794,"(40.82326066693898, -73.94511290332794)"
397667,38525275,2018-02-22 00:00:00,02/22/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10022,342 EAST   50 STREET,EAST   50 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,,,Closed,03/24/2018 04:09:27 AM,02/22/2018 04:16:06 AM,06 MANHATTAN,MANHATTAN,993264.0,214134.0,Unspecified,MANHATTAN,,,,,,,,40.75442028792549,-73.96746488258691,"(40.75442028792549, -73.96746488258691)"
397668,38523778,2018-02-22 00:00:00,02/22/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10452,1314 MERRIAM AVENUE,MERRIAM AVENUE,WEST 169 STREET,WEST 170 STREET,,,ADDRESS,BRONX,,,Closed,03/24/2018 12:14:04 PM,02/22/2018 12:20:51 PM,04 BRONX,BRONX,1004693.0,245584.0,Unspecified,BRONX,,,,,,,,40.84072290722596,-73.92611733894245,"(40.84072290722596, -73.92611733894246)"
397669,38523607,2018-02-22 00:00:00,02/22/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Cat,1-2 Family Mixed Use Building,11225,580 EMPIRE BOULEVARD,EMPIRE BOULEVARD,LAMONT COURT,KINGSTON AVENUE,,,ADDRESS,BROOKLYN,,,Closed,03/24/2018 10:37:58 PM,02/22/2018 12:00:00 AM,09 BROOKLYN,BROOKLYN,1000033.0,181220.0,Unspecified,BROOKLYN,,,,,,,,40.66406969404813,-73.94311002446291,"(40.66406969404813, -73.9431100244629)"
397670,38523193,2018-02-22 00:00:00,02/22/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10034,139 PAYSON AVENUE,PAYSON AVENUE,BEND,BEND,,,ADDRESS,NEW YORK,,,Closed,03/24/2018 10:11:07 AM,02/22/2018 10:14:01 AM,12 MANHATTAN,MANHATTAN,1004956.0,255789.0,Unspecified,MANHATTAN,,,,,,,,40.86873196644229,-73.92513531524392,"(40.86873196644229, -73.92513531524392)"
397671,38523175,2018-02-22 00:00:00,02/22/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11225,410 EASTERN PARKWAY,EASTERN PARKWAY,BEDFORD AVENUE,ROGERS AVENUE,,,ADDRESS,BROOKLYN,,,Closed,03/24/2018 06:46:33 AM,02/22/2018 06:49:27 AM,09 BROOKLYN,BROOKLYN,996798.0,183410.0,Unspecified,BROOKLYN,,,,,,,,40.670085931603296,-73.95476653454561,"(40.670085931603296, -73.95476653454561)"
397672,38523173,2018-02-22 00:00:00,02/22/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10456,765 EAST  166 STREET,EAST  166 STREET,FOREST AVENUE,TINTON AVENUE,,,ADDRESS,BRONX,,,Closed,03/24/2018 08:54:04 AM,02/22/2018 08:59:28 AM,03 BRONX,BRONX,1011383.0,240350.0,Unspecified,BRONX,,,,,,,,40.826339072935404,-73.90196032479494,"(40.826339072935404, -73.90196032479494)"
397673,38520570,2018-02-22 00:00:00,02/22/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11207,715 RIVERDALE AVENUE,RIVERDALE AVENUE,,,,,LATLONG,BROOKLYN,,,Closed,03/24/2018 12:01:58 AM,02/22/2018 12:00:00 AM,Unspecified BROOKLYN,BROOKLYN,1014962.0,181209.0,Unspecified,BROOKLYN,,,,,,,,40.664000302965896,-73.88929839362893,"(40.664000302965896, -73.88929839362893)"
397674,38515802,2018-02-22 00:00:00,02/22/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11217,535 DEAN STREET,DEAN STREET,,,,,LATLONG,BROOKLYN,,,Closed,03/24/2018 01:22:34 AM,02/22/2018 12:00:00 AM,Unspecified BROOKLYN,BROOKLYN,991946.0,187489.0,Unspecified,BROOKLYN,,,,,,,,40.68128741418651,-73.9722525331265,"(40.68128741418651, -73.9722525331265)"
397675,38529283,2018-02-22 00:00:00,03/06/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11238,306 SAINT JAMES PLACE,SAINT JAMES PLACE,,,,,LATLONG,BROOKLYN,,,Closed,03/24/2018 11:29:59 PM,03/06/2018 12:00:00 AM,02 BROOKLYN,BROOKLYN,994360.0,187497.0,Unspecified,BROOKLYN,,,,,,,,40.681306944370974,-73.96354898965015,"(40.68130694437097, -73.96354898965015)"
397676,38529279,2018-02-22 00:00:00,02/26/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,1-2 Family Dwelling,10469,2764 FISH AVENUE,FISH AVENUE,ALLERTON AVENUE,BEND,,,ADDRESS,BRONX,,,Closed,03/24/2018 03:36:57 PM,02/26/2018 12:00:00 AM,11 BRONX,BRONX,1026526.0,254849.0,Unspecified,BRONX,,,,,,,,40.866075004242724,-73.8471527973193,"(40.86607500424273, -73.8471527973193)"
397677,38529278,2018-02-22 00:00:00,02/26/2018 12:24:42 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,11207,456 WYONA STREET,WYONA STREET,BLAKE AVENUE,DUMONT AVENUE,,,ADDRESS,BROOKLYN,,,Closed,03/24/2018 09:02:32 PM,02/26/2018 12:24:42 PM,05 BROOKLYN,BROOKLYN,1014263.0,182470.0,Unspecified,BROOKLYN,,,,,,,,40.667463862316055,-73.89181232745733,"(40.667463862316055, -73.89181232745733)"
397678,38529203,2018-02-22 00:00:00,02/22/2018 12:00:01 AM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,10040,603 FORT WASHINGTON AVENUE,FORT WASHINGTON AVENUE,WEST 187 STREET,WEST 190 STREET,,,ADDRESS,NEW YORK,,,Closed,03/08/2018 09:53:06 AM,03/01/2018 12:02:13 PM,12 MANHATTAN,MANHATTAN,1001719.0,250871.0,Unspecified,MANHATTAN,,,,,,,,40.8552405431814,-73.93685183770653,"(40.85524054318141, -73.93685183770653)"
397679,38529201,2018-02-22 00:00:00,02/28/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,3+ Family Apartment Building,10029,324 EAST  108 STREET,EAST  108 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,,,Closed,03/24/2018 05:15:31 AM,02/28/2018 12:00:00 AM,11 MANHATTAN,MANHATTAN,1000772.0,227612.0,Unspecified,MANHATTAN,,,,,,,,40.791403021793215,-73.94033238903656,"(40.79140302179322, -73.94033238903656)"
397680,38529119,2018-02-22 00:00:00,02/28/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Other (Explain Below),10460,800 EAST  182 STREET,EAST  182 STREET,MAPES AVENUE,SOUTHERN BOULEVARD,,,ADDRESS,BRONX,,,Closed,03/24/2018 11:47:27 AM,02/28/2018 12:00:00 AM,06 BRONX,BRONX,1016425.0,248476.0,Unspecified,BRONX,,,,,,,,40.848625639255616,-73.8837031032635,"(40.848625639255616, -73.8837031032635)"
397681,38529032,2018-02-22 00:00:00,02/26/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,10304,18 COURT STREET,COURT STREET,BOYD STREET,TOMPKINS PLACE,,,ADDRESS,STATEN ISLAND,,,Closed,03/24/2018 01:51:41 PM,02/26/2018 12:00:00 AM,01 STATEN ISLAND,STATEN ISLAND,961898.0,167617.0,Unspecified,STATEN ISLAND,,,,,,,,40.62671826269997,-74.08052291561411,"(40.62671826269997, -74.08052291561411)"
