212325,38316372,2018-01-26 00:00:00,04/02/2019 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Commercial Building,11206.0,970 FLUSHING AVENUE,FLUSHING AVENUE,BOGART STREET,FORREST STREET,,,ADDRESS,BROOKLYN,,,Closed,02/25/2018 09:06:50 PM,04/02/2019 12:00:00 AM,04 BROOKLYN,BROOKLYN,1003047.0,195534.0,Unspecified,BROOKLYN,,,,,,,,40.70335246153872,-73.93220610568022,"(40.70335246153872, -73.93220610568022)"
212326,38319620,2018-01-26 00:00:00,01/26/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10002.0,28 MARKET STREET,MARKET STREET,,,,,LATLONG,NEW YORK,,,Closed,02/25/2018 08:32:44 PM,01/26/2018 08:35:19 PM,Unspecified MANHATTAN,MANHATTAN,985857.0,198983.0,Unspecified,MANHATTAN,,,,,,,,40.71283896946826,-73.99420331527817,"(40.71283896946826, -73.99420331527817)"
212327,38319584,2018-01-26 00:00:00,01/26/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,Other (Explain Below),10468.0,2337 GRAND CONCOURSE,GRAND CONCOURSE,EAST 183 STREET,FIELD PLACE,,,ADDRESS,BRONX,,,Closed,02/25/2018 08:20:32 AM,01/26/2018 08:22:58 AM,05 BRONX,BRONX,1012082.0,252034.0,Unspecified,BRONX,,,,,,,,40.85840604170503,-73.89938613893433,"(40.85840604170503, -73.89938613893433)"
212328,38319478,2018-01-26 00:00:00,01/26/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10040.0,75 FAIRVIEW AVENUE,FAIRVIEW AVENUE,,,,,LATLONG,NEW YORK,,,Closed,02/25/2018 12:19:28 PM,01/26/2018 12:22:30 PM,Unspecified MANHATTAN,MANHATTAN,1003136.0,251506.0,Unspecified,MANHATTAN,,,,,,,,40.85698051047371,-73.9317277800142,"(40.85698051047371, -73.93172778001421)"
212329,38319441,2018-01-26 00:00:00,01/26/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10025.0,120 WEST 94TH STREET,WEST 94TH STREET,,,,,LATLONG,NEW YORK,,,Closed,02/25/2018 07:54:12 AM,01/26/2018 07:58:30 AM,Unspecified MANHATTAN,MANHATTAN,992615.0,227780.0,Unspecified,MANHATTAN,,,,,,,,40.791875622223984,-73.96979039582733,"(40.791875622223984, -73.96979039582733)"
212330,38317009,2018-01-26 00:00:00,01/26/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10452.0,1314 MERRIAM AVENUE,MERRIAM AVENUE,WEST 169 STREET,WEST 170 STREET,,,ADDRESS,BRONX,,,Closed,02/25/2018 07:42:29 PM,01/26/2018 07:48:46 PM,04 BRONX,BRONX,1004693.0,245584.0,Unspecified,BRONX,,,,,,,,40.84072290722596,-73.92611733894245,"(40.84072290722596, -73.92611733894246)"
212331,38315956,2018-01-26 00:00:00,01/26/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10460.0,1918 LONGFELLOW AVENUE,LONGFELLOW AVENUE,RODMAN PLACE,BEND,,,ADDRESS,BRONX,,,Closed,02/25/2018 10:39:18 AM,01/26/2018 10:49:38 AM,06 BRONX,BRONX,1016934.0,245079.0,Unspecified,BRONX,,,,,,,,40.839300008647115,-73.88187987616875,"(40.83930000864712, -73.88187987616875)"
212332,38315940,2018-01-26 00:00:00,01/26/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10452.0,1314 MERRIAM AVENUE,MERRIAM AVENUE,WEST 169 STREET,WEST 170 STREET,,,ADDRESS,BRONX,,,Closed,02/25/2018 07:44:35 PM,01/26/2018 07:49:46 PM,04 BRONX,BRONX,1004693.0,245584.0,Unspecified,BRONX,,,,,,,,40.84072290722596,-73.92611733894245,"(40.84072290722596, -73.92611733894246)"
212333,38315853,2018-01-26 00:00:00,01/26/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10458.0,2860 DECATUR AVENUE,DECATUR AVENUE,EAST 199 STREET,BEDFORD PARK BOULEVARD,,,ADDRESS,BRONX,,,Closed,02/25/2018 12:55:17 PM,01/26/2018 12:59:49 PM,07 BRONX,BRONX,1016108.0,255403.0,Unspecified,BRONX,,,,,,,,40.867639310575015,-73.88481597920585,"(40.867639310575015, -73.88481597920585)"
212334,38314633,2018-01-26 00:00:00,01/26/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10025.0,120 WEST 94TH STREET,WEST 94TH STREET,,,,,LATLONG,NEW YORK,,,Closed,02/25/2018 08:13:03 AM,01/26/2018 08:14:52 AM,Unspecified MANHATTAN,MANHATTAN,992615.0,227780.0,Unspecified,MANHATTAN,,,,,,,,40.791875622223984,-73.96979039582733,"(40.791875622223984, -73.96979039582733)"
