1113113,39348926,2018-06-01 00:00:00,06/01/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11205.0,499 DEKALB AVENUE,DEKALB AVENUE,,,,,LATLONG,BROOKLYN,,,Closed,07/01/2018 03:36:05 PM,06/01/2018 03:39:20 PM,Unspecified BROOKLYN,BROOKLYN,996176.0,190998.0,Unspecified,BROOKLYN,,,,,,,,40.69091412652063,-73.95699531251512,"(40.69091412652063, -73.95699531251513)"
1113114,39347388,2018-06-01 00:00:00,06/01/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,Other (Explain Below),10026.0,55 WEST  110 STREET,WEST  110 STREET,FRAWLEY CIRCLE,LENOX AVENUE,,,ADDRESS,NEW YORK,,,Closed,07/01/2018 09:21:04 AM,06/01/2018 09:40:58 AM,10 MANHATTAN,MANHATTAN,997688.0,229953.0,Unspecified,MANHATTAN,,,,,,,,40.79783365975099,-73.9514652710806,"(40.79783365975099, -73.9514652710806)"
1113115,39346293,2018-06-01 00:00:00,06/01/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10306.0,114 CEDARVIEW AVENUE,CEDARVIEW AVENUE,AMBOY ROAD,NORTH RAILROAD AVENUE,,,ADDRESS,STATEN ISLAND,,,Closed,07/01/2018 06:08:50 AM,06/01/2018 06:16:56 AM,03 STATEN ISLAND,STATEN ISLAND,948731.0,145327.0,Unspecified,STATEN ISLAND,,,,,,,,40.565493766945636,-74.12783969199428,"(40.565493766945636, -74.12783969199428)"
1113116,39344799,2018-06-01 00:00:00,06/01/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11215.0,94 PROSPECT PARK WEST,PROSPECT PARK WEST,,,,,LATLONG,BROOKLYN,,,Closed,07/01/2018 09:15:30 AM,06/01/2018 09:19:09 AM,Unspecified BROOKLYN,BROOKLYN,991149.0,182305.0,Unspecified,BROOKLYN,,,,,,,,40.66705915750835,-73.97513137492155,"(40.66705915750835, -73.97513137492155)"
1113117,39344710,2018-06-01 00:00:00,06/01/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,Commercial Building,11215.0,128 10TH STREET,10TH STREET,,,,,LATLONG,BROOKLYN,,,Closed,07/01/2018 01:27:20 PM,06/01/2018 01:30:12 PM,Unspecified BROOKLYN,BROOKLYN,986129.0,183951.0,Unspecified,BROOKLYN,,,,,,,,40.671579548587324,-73.99322636425983,"(40.67157954858733, -73.99322636425983)"
1113118,39344377,2018-06-01 00:00:00,06/01/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,11219.0,6623 FORT HAMILTON PARKWAY,FORT HAMILTON PARKWAY,66 STREET,67 STREET,,,ADDRESS,BROOKLYN,,,Closed,07/01/2018 12:16:16 PM,06/01/2018 12:20:34 PM,10 BROOKLYN,BROOKLYN,981416.0,168789.0,Unspecified,BROOKLYN,,,,,,,,40.629962900981724,-74.01020995909961,"(40.62996290098173, -74.01020995909961)"
1113119,39343811,2018-06-01 00:00:00,06/01/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10460.0,1450 TAYLOR AVENUE,TAYLOR AVENUE,EAST 174 STREET,ARCHER STREET,,,ADDRESS,BRONX,,,Closed,07/01/2018 03:07:46 PM,06/01/2018 03:24:50 PM,09 BRONX,BRONX,1021281.0,244033.0,Unspecified,BRONX,,,,,,,,40.83641188693985,-73.86617559669034,"(40.836411886939864, -73.86617559669034)"
1113120,39343185,2018-06-01 00:00:00,06/01/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,11001.0,256-11 87 AVENUE,87 AVENUE,256 STREET,257 STREET,,,ADDRESS,Floral Park,,,Closed,07/01/2018 02:13:17 PM,06/01/2018 02:18:23 PM,13 QUEENS,QUEENS,1064722.0,205731.0,Unspecified,QUEENS,,,,,,,,40.730994681400375,-73.70964607274443,"(40.730994681400375, -73.70964607274443)"
1113121,39342913,2018-06-01 00:00:00,06/01/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10455.0,596 UNION AVENUE,UNION AVENUE,EAST 150 STREET,EAST 151 STREET,,,ADDRESS,BRONX,,,Closed,07/01/2018 11:17:01 PM,06/01/2018 12:00:00 AM,01 BRONX,BRONX,1010568.0,235787.0,Unspecified,BRONX,,,,,,,,40.81381739796525,-73.90492305744341,"(40.81381739796525, -73.9049230574434)"
1113122,39342094,2018-06-01 00:00:00,06/01/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10002.0,28 MARKET STREET,MARKET STREET,,,,,LATLONG,NEW YORK,,,Closed,07/01/2018 11:35:21 AM,06/01/2018 11:38:35 AM,Unspecified MANHATTAN,MANHATTAN,985848.0,198987.0,Unspecified,MANHATTAN,,,,,,,,40.7128499501453,-73.9942357786488,"(40.7128499501453, -73.9942357786488)"
