751193,38930533,2018-04-13 00:00:00,04/17/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,11213,1149 ST JOHN'S PLACE,ST JOHN'S PLACE,HAMPTON PLACE,ALBANY AVENUE,,,ADDRESS,BROOKLYN,,,Closed,05/13/2018 08:29:29 PM,04/17/2018 12:00:00 AM,Unspecified BROOKLYN,BROOKLYN,1000856.0,183778.0,Unspecified,BROOKLYN,,,,,,,,40.67108932743013,-73.9401372128813,"(40.671089327430124, -73.9401372128813)"
751194,38935478,2018-04-13 00:00:00,04/13/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Mixed Use Building,10453,2155 GRAND AVENUE,GRAND AVENUE,WEST 181 STREET,CLINTON PLACE,,,ADDRESS,BRONX,,,Closed,05/13/2018 10:44:42 AM,04/13/2018 11:00:25 AM,05 BRONX,BRONX,1009924.0,251375.0,Unspecified,BRONX,,,,,,,,40.856603824537274,-73.90718991850827,"(40.85660382453727, -73.90718991850827)"
751195,38935199,2018-04-13 00:00:00,04/13/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11211,110 FROST STREET,FROST STREET,MEEKER AVENUE,MANHATTAN AVENUE,,,ADDRESS,BROOKLYN,,,Closed,05/13/2018 04:47:27 PM,04/13/2018 04:54:16 PM,01 BROOKLYN,BROOKLYN,998923.0,200820.0,Unspecified,BROOKLYN,,,,,,,,40.71786907305854,-73.94706833902735,"(40.71786907305854, -73.94706833902735)"
751196,38935195,2018-04-13 00:00:00,04/13/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10456,1348 SHERIDAN AVENUE,SHERIDAN AVENUE,,,,,LATLONG,BRONX,,,Closed,05/13/2018 08:15:39 PM,04/13/2018 08:18:41 PM,Unspecified BRONX,BRONX,1008238.0,244346.0,Unspecified,BRONX,,,,,,,,40.83731604057968,-73.91330985689399,"(40.83731604057968, -73.91330985689399)"
751197,38934721,2018-04-13 00:00:00,04/13/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10031,401 WEST  148 STREET,WEST  148 STREET,ST NICHOLAS AVENUE,CONVENT AVENUE,,,ADDRESS,NEW YORK,,,Closed,05/13/2018 09:57:23 PM,04/13/2018 09:58:55 PM,09 MANHATTAN,MANHATTAN,999863.0,240239.0,Unspecified,MANHATTAN,,,,,,,,40.82606228550846,-73.9435857860165,"(40.82606228550846, -73.9435857860165)"
751198,38934337,2018-04-13 00:00:00,04/13/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10304,15 PRINCE STREET,PRINCE STREET,,,,,LATLONG,STATEN ISLAND,,,Closed,05/13/2018 06:41:32 AM,04/13/2018 06:44:22 AM,Unspecified STATEN ISLAND,STATEN ISLAND,961459.0,164378.0,Unspecified,STATEN ISLAND,,,,,,,,40.61782676944758,-74.08209347363105,"(40.61782676944758, -74.08209347363105)"
751199,38933087,2018-04-13 00:00:00,04/13/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10026,140 W 111TH ST,W 111TH ST,,,,,LATLONG,NEW YORK,,,Closed,05/13/2018 02:21:25 PM,04/13/2018 02:25:55 PM,Unspecified MANHATTAN,MANHATTAN,997038.0,230570.0,Unspecified,MANHATTAN,,,,,,,,40.79952812098399,-73.95381173468495,"(40.799528120983986, -73.95381173468495)"
751200,38932250,2018-04-13 00:00:00,04/13/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,10039,201 WEST  146 STREET,WEST  146 STREET,7 AVENUE,8 AVENUE,,,ADDRESS,NEW YORK,,,Closed,05/13/2018 09:01:25 PM,04/13/2018 09:08:15 PM,10 MANHATTAN,MANHATTAN,1001110.0,238952.0,Unspecified,MANHATTAN,,,,,,,,40.822527544437094,-73.93908325530046,"(40.822527544437094, -73.93908325530047)"
751201,38932249,2018-04-13 00:00:00,04/13/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11225,410 EASTERN PARKWAY,EASTERN PARKWAY,BEDFORD AVENUE,ROGERS AVENUE,,,ADDRESS,BROOKLYN,,,Closed,05/13/2018 06:40:24 AM,04/13/2018 06:43:21 AM,09 BROOKLYN,BROOKLYN,996798.0,183410.0,Unspecified,BROOKLYN,,,,,,,,40.670085931603296,-73.95476653454561,"(40.670085931603296, -73.95476653454561)"
751202,38932248,2018-04-13 00:00:00,04/13/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10002,28 MARKET STREET,MARKET STREET,,,,,LATLONG,NEW YORK,,,Closed,05/13/2018 06:22:46 PM,04/13/2018 06:25:24 PM,Unspecified MANHATTAN,MANHATTAN,985848.0,198987.0,Unspecified,MANHATTAN,,,,,,,,40.7128499501453,-73.9942357786488,"(40.7128499501453, -73.9942357786488)"
