360040,38485638,2018-02-16 00:00:00,02/16/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Mixed Use Building,10031,611 WEST  148 STREET,WEST  148 STREET,BROADWAY,RIVERSIDE DRIVE,,,ADDRESS,NEW YORK,,,Closed,03/18/2018 12:31:14 PM,02/16/2018 12:35:36 PM,09 MANHATTAN,MANHATTAN,998139.0,241193.0,Unspecified,MANHATTAN,,,,,,,,40.82868362208559,-73.94981311246337,"(40.82868362208559, -73.94981311246337)"
360041,38485334,2018-02-16 00:00:00,02/16/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10474,1325 LAFAYETTE AVENUE,LAFAYETTE AVENUE,BRYANT AVENUE,LONGFELLOW AVENUE,,,ADDRESS,BRONX,,,Closed,03/18/2018 11:25:42 PM,02/16/2018 12:00:00 AM,02 BRONX,BRONX,1015853.0,236949.0,Unspecified,BRONX,,,,,,,,40.81698943474975,-73.88582490713617,"(40.81698943474975, -73.88582490713617)"
360042,38484708,2018-02-16 00:00:00,02/16/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,10031,828 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,WEST 151 STREET,WEST 152 STREET,,,ADDRESS,NEW YORK,,,Closed,03/18/2018 11:15:56 AM,02/16/2018 11:25:00 AM,09 MANHATTAN,MANHATTAN,1000208.0,241092.0,Unspecified,MANHATTAN,,,,,,,,40.8284029101287,-73.94233717427045,"(40.8284029101287, -73.94233717427045)"
360043,38484638,2018-02-16 00:00:00,02/16/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,1-2 Family Dwelling,10314,240 BRYSON AVENUE,BRYSON AVENUE,,,,,LATLONG,STATEN ISLAND,,,Closed,03/18/2018 10:53:54 PM,02/16/2018 12:00:00 AM,Unspecified STATEN ISLAND,STATEN ISLAND,944100.0,163561.0,Unspecified,STATEN ISLAND,,,,,,,,40.615522618366256,-74.14461586630776,"(40.615522618366256, -74.14461586630777)"
360044,38484553,2018-02-16 00:00:00,02/16/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10022,253 EAST 52ND STREET,EAST 52ND STREET,,,,,LATLONG,NEW YORK,,,Closed,03/18/2018 06:01:37 PM,02/16/2018 06:04:20 PM,Unspecified MANHATTAN,MANHATTAN,993163.0,214844.0,Unspecified,MANHATTAN,,,,,,,,40.75636915951676,-73.96782849061168,"(40.75636915951676, -73.96782849061168)"
360045,38483841,2018-02-16 00:00:00,02/16/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,10453,5 MOUNT HOPE PLACE,MOUNT HOPE PLACE,JEROME AVENUE,WALTON AVENUE,,,ADDRESS,BRONX,,,Closed,03/18/2018 08:31:28 PM,02/16/2018 08:34:56 PM,05 BRONX,BRONX,1008936.0,248733.0,Unspecified,BRONX,,,,,,,,40.849355141631015,-73.91077120958326,"(40.849355141631015, -73.91077120958325)"
360046,38482946,2018-02-16 00:00:00,02/16/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11221,543 LEXINGTON AVENUE,LEXINGTON AVENUE,,,,,LATLONG,BROOKLYN,,,Closed,03/18/2018 05:18:52 PM,02/16/2018 05:21:46 PM,Unspecified BROOKLYN,BROOKLYN,1000886.0,190362.0,Unspecified,BROOKLYN,,,,,,,,40.68916085329767,-73.94001281263645,"(40.689160853297665, -73.94001281263645)"
360047,38482945,2018-02-16 00:00:00,02/16/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11217,41 SAINT MARKS AVENUE,SAINT MARKS AVENUE,,,,,LATLONG,BROOKLYN,,,Closed,03/18/2018 09:34:35 PM,02/16/2018 12:00:00 AM,Unspecified BROOKLYN,BROOKLYN,990934.0,187171.0,Unspecified,BROOKLYN,,,,,,,,40.68041539845397,-73.975901553708,"(40.680415398453974, -73.975901553708)"
360048,38482939,2018-02-16 00:00:00,02/16/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,11435,141-59 85 ROAD,85 ROAD,BEND,143 STREET,,,ADDRESS,Jamaica,,,Closed,03/18/2018 08:39:57 AM,02/16/2018 08:42:32 AM,08 QUEENS,QUEENS,1035594.0,197862.0,Unspecified,QUEENS,,,,,,,,40.70961326402459,-73.81480348523989,"(40.70961326402459, -73.81480348523989)"
360049,38482237,2018-02-16 00:00:00,02/16/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11225,410 EASTERN PARKWAY,EASTERN PARKWAY,BEDFORD AVENUE,ROGERS AVENUE,,,ADDRESS,BROOKLYN,,,Closed,03/18/2018 06:42:36 AM,02/16/2018 06:45:31 AM,09 BROOKLYN,BROOKLYN,996798.0,183410.0,Unspecified,BROOKLYN,,,,,,,,40.670085931603296,-73.95476653454561,"(40.670085931603296, -73.95476653454561)"
360050,38480033,2018-02-16 00:00:00,02/16/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10033,579 FORT WASHINGTON AVENUE,FORT WASHINGTON AVENUE,WEST 185 STREET,WEST 187 STREET,,,ADDRESS,NEW YORK,,,Closed,03/18/2018 11:53:39 PM,02/16/2018 12:00:00 AM,12 MANHATTAN,MANHATTAN,1001645.0,250569.0,Unspecified,MANHATTAN,,,,,,,,40.85441178955656,-73.93712012163478,"(40.85441178955656, -73.93712012163478)"
360051,38480009,2018-02-16 00:00:00,02/16/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10027,410 ST NICHLAS AVENUE,ST NICHLAS AVENUE,WEST 130 STREET,WEST 133 STREET,,,ADDRESS,NEW YORK,,,Closed,03/18/2018 05:23:33 PM,02/16/2018 05:31:53 PM,10 MANHATTAN,MANHATTAN,998223.0,235925.0,Unspecified,MANHATTAN,,,,,,,,40.81422432071962,-73.94952055422276,"(40.814224320719624, -73.94952055422276)"
360052,38476698,2018-02-16 00:00:00,02/16/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11217,499 DEAN STREET,DEAN STREET,,,,,LATLONG,BROOKLYN,,,Closed,03/18/2018 12:09:18 AM,02/16/2018 12:00:00 AM,Unspecified BROOKLYN,BROOKLYN,991587.0,187520.0,Unspecified,BROOKLYN,,,,,,,,40.68137280698684,-73.97354685228285,"(40.68137280698684, -73.97354685228284)"
