161134,38258674,2018-01-19 00:00:00,01/19/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11691,11-53 NEILSON STREET,NEILSON STREET,,,,,LATLONG,FAR ROCKAWAY,,,Closed,02/18/2018 03:07:25 AM,01/19/2018 03:11:00 AM,Unspecified QUEENS,QUEENS,1053936.0,160273.0,Unspecified,QUEENS,,,,,,,,40.60631470219847,-73.74903311239997,"(40.60631470219847, -73.74903311239997)"
161135,38257173,2018-01-19 00:00:00,01/19/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10031,633 WEST 152ND STREET,WEST 152ND STREET,,,,,LATLONG,NEW YORK,,,Closed,02/18/2018 02:41:14 PM,01/19/2018 02:44:25 PM,Unspecified MANHATTAN,MANHATTAN,998347.0,242336.0,Unspecified,MANHATTAN,,,,,,,,40.8318204994232,-73.9490591179905,"(40.8318204994232, -73.9490591179905)"
161136,38256171,2018-01-19 00:00:00,01/19/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,1-2 Family Dwelling,11216,696 ST MARKS AVENUE,ST MARKS AVENUE,ROGERS AVENUE,NOSTRAND AVENUE,,,ADDRESS,BROOKLYN,,,Closed,02/18/2018 08:42:43 AM,01/19/2018 08:48:06 AM,08 BROOKLYN,BROOKLYN,997940.0,185285.0,Unspecified,BROOKLYN,,,,,,,,40.675230692852814,-73.9506460059968,"(40.675230692852814, -73.9506460059968)"
161137,38255713,2018-01-19 00:00:00,01/19/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10460,1971 MARMION AVENUE,MARMION AVENUE,,,,,LATLONG,BRONX,,,Closed,02/18/2018 05:18:45 AM,01/19/2018 05:22:07 AM,Unspecified BRONX,BRONX,1015563.0,246724.0,Unspecified,BRONX,,,,,,,,40.8438200175112,-73.88682698992898,"(40.8438200175112, -73.88682698992899)"
161138,38255548,2018-01-19 00:00:00,01/19/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10040,75 FAIRVIEW AVENUE,FAIRVIEW AVENUE,,,,,LATLONG,NEW YORK,,,Closed,02/18/2018 09:33:07 PM,01/19/2018 12:00:00 AM,Unspecified MANHATTAN,MANHATTAN,1003136.0,251506.0,Unspecified,MANHATTAN,,,,,,,,40.85698051047371,-73.9317277800142,"(40.85698051047371, -73.93172778001421)"
161139,38254311,2018-01-19 00:00:00,01/19/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Condition Attracting Rodents,3+ Family Apt. Building,11206,48 JEFFERSON STREET,JEFFERSON STREET,STANWIX STREET,EVERGREEN AVENUE,,,ADDRESS,BROOKLYN,,,Closed,02/18/2018 12:14:34 PM,01/19/2018 12:18:06 PM,04 BROOKLYN,BROOKLYN,1002765.0,193819.0,Unspecified,BROOKLYN,,,,,,,,40.69864578380325,-73.9332278908782,"(40.698645783803244, -73.93322789087821)"
161140,38254119,2018-01-19 00:00:00,01/19/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,11215,78 PROSPECT PARK WEST,PROSPECT PARK WEST,,,,,LATLONG,BROOKLYN,,,Closed,02/18/2018 01:37:51 PM,01/19/2018 01:41:20 PM,Unspecified BROOKLYN,BROOKLYN,991338.0,182617.0,Unspecified,BROOKLYN,,,,,,,,40.66791537870821,-73.97444976410634,"(40.66791537870821, -73.97444976410635)"
161141,38253807,2018-01-19 00:00:00,01/19/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10310,818 POST AVENUE,POST AVENUE,DRIPROCK STREET,DUBOIS AVENUE,,,ADDRESS,STATEN ISLAND,,,Closed,02/18/2018 03:33:30 PM,01/19/2018 03:42:49 PM,01 STATEN ISLAND,STATEN ISLAND,948626.0,169224.0,Unspecified,STATEN ISLAND,,,,,,,,40.63108570567013,-74.12834362441545,"(40.631085705670124, -74.12834362441546)"
161142,38253805,2018-01-19 00:00:00,01/19/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,Other (Explain Below),10028,305 EAST   86 STREET,EAST   86 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,,,Closed,02/18/2018 08:07:23 AM,01/19/2018 08:09:25 AM,08 MANHATTAN,MANHATTAN,997734.0,222619.0,Unspecified,MANHATTAN,,,,,,,,40.77770372685646,-73.95131385274287,"(40.77770372685646, -73.95131385274287)"
161143,38249093,2018-01-19 00:00:00,01/19/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,11207,545 BRADFORD STREET,BRADFORD STREET,DUMONT AVENUE,LIVONIA AVENUE,,,ADDRESS,BROOKLYN,,,Closed,02/18/2018 06:38:57 PM,01/19/2018 06:46:39 PM,05 BROOKLYN,BROOKLYN,1014665.0,181799.0,Unspecified,BROOKLYN,,,,,,,,40.66562074606971,-73.89036626930964,"(40.66562074606971, -73.89036626930964)"
